,objnum,sedfnname,sedtype
0,64,pickles_uk_72.fits,G0III
1,97,pickles_uk_38.fits,M0V
2,101,pickles_uk_89.fits,rK3III
3,108,pickles_uk_79.fits,wK0III
4,109,pickles_uk_55.fits,G5IV
5,111,pickles_uk_55.fits,G5IV
6,118,pickles_uk_24.fits,wG0V
7,123,pickles_uk_37.fits,K7V
8,131,pickles_uk_17.fits,wF5V
9,141,pickles_uk_79.fits,wK0III
10,150,pickles_uk_130.fits,K4I
11,159,pickles_uk_31.fits,K0V
12,175,pickles_uk_53.fits,G0IV
13,180,pickles_uk_112.fits,K34II
14,201,pickles_uk_31.fits,K0V
15,204,pickles_uk_32.fits,rK0V
16,217,pickles_uk_124.fits,G0I
17,244,pickles_uk_23.fits,G0V
18,257,pickles_uk_124.fits,G0I
19,262,pickles_uk_50.fits,F02IV
20,272,pickles_uk_20.fits,F8V
21,308,pickles_uk_30.fits,G8V
22,346,pickles_uk_23.fits,G0V
23,369,pickles_uk_30.fits,G8V
24,385,pickles_uk_129.fits,K3I
25,392,pickles_uk_28.fits,wG5V
26,414,pickles_uk_56.fits,G8IV
27,433,pickles_uk_28.fits,wG5V
28,440,pickles_uk_17.fits,wF5V
29,460,pickles_uk_28.fits,wG5V
30,468,pickles_uk_71.fits,F5III
31,470,pickles_uk_52.fits,F8IV
32,478,pickles_uk_28.fits,wG5V
33,489,pickles_uk_32.fits,rK0V
34,523,pickles_uk_18.fits,F6V
35,526,pickles_uk_28.fits,wG5V
36,527,pickles_uk_128.fits,K2I
37,538,pickles_uk_68.fits,A7III
38,545,pickles_uk_28.fits,wG5V
39,550,pickles_uk_52.fits,F8IV
40,551,pickles_uk_17.fits,wF5V
41,558,pickles_uk_28.fits,wG5V
42,596,pickles_uk_77.fits,wG8III
43,610,pickles_uk_41.fits,M2.5V
44,618,pickles_uk_23.fits,G0V
45,619,pickles_uk_45.fits,M6V
46,621,pickles_uk_72.fits,G0III
47,648,pickles_uk_75.fits,rG5III
48,653,pickles_uk_17.fits,wF5V
49,654,pickles_uk_21.fits,wF8V
50,657,pickles_uk_28.fits,wG5V
51,658,pickles_uk_41.fits,M2.5V
52,669,pickles_uk_29.fits,rG5V
53,715,pickles_uk_58.fits,K1IV
54,721,pickles_uk_124.fits,G0I
55,813,pickles_uk_84.fits,K2III
56,824,pickles_uk_131.fits,M2I
57,865,pickles_uk_82.fits,wK1III
58,907,pickles_uk_35.fits,K4V
59,909,pickles_uk_51.fits,F5IV
60,913,pickles_uk_17.fits,wF5V
61,944,pickles_uk_89.fits,rK3III
62,948,pickles_uk_112.fits,K34II
63,950,pickles_uk_41.fits,M2.5V
64,958,pickles_uk_17.fits,wF5V
65,963,pickles_uk_32.fits,rK0V
66,983,pickles_uk_38.fits,M0V
